web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1627550783-521","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Love, Jennie || Jenlisa AU","https://archiveofourown.org/works/32291302","MakunaHatata","Mature","F/F","2021-07-01","237"
"1627547944-267","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","I look at you and I think I like where I'm at","https://archiveofourown.org/works/24418399","rudesunyoung","Teen And Up Audiences","F/F","2020-05-28","1709"
"1627545121-15","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Teufelspakt","https://archiveofourown.org/works/11435628","jisoopremacist","Teen And Up Audiences","F/F","2017-07-08","1043"
"1627547410-220","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","Why Did You Stay {Jenlisa}","https://archiveofourown.org/works/22480765","YadomJenlisa97 (DumplingJendukie97)","Not Rated","F/F","2020-01-30","816"
"1627548264-296","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","At the End of a Tiring Day","https://archiveofourown.org/works/26028517","Erysun","Explicit","F/F","2020-08-25","373"
"1627546760-162","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","Kill this love","https://archiveofourown.org/works/18507544","blackpinkaus","Teen And Up Audiences","F/F","2019-04-18","2727"
"1627550526-498","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","Playing With Fire","https://archiveofourown.org/works/31878967","adoringjenchulichaeng","Teen And Up Audiences","F/F","2021-06-11","622"
"1627550183-467","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","500 Feet","https://archiveofourown.org/works/31044509","jodijodijodi22","Mature","F/F","2021-05-02","537"
"1627547870-261","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","Lover [zakończone]","https://archiveofourown.org/works/24042946","louisshui","General Audiences","F/F","2020-05-06","84"
"1627545345-35","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","THE BIG BANG THEORY","https://archiveofourown.org/works/14004369","exrui","Not Rated","F/F","2018-03-17","1755"
"1627549576-413","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Baby Lego","https://archiveofourown.org/works/29799840","march_jo","Teen And Up Audiences","F/F","2021-03-02","1007"
"1627547047-187","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","stay with me | jenlisa","https://archiveofourown.org/works/21094727","batgrrrrrrl","Mature","F/F","2019-10-19","5125"
"1627550537-499","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","I want to go home with you","https://archiveofourown.org/works/31892200","rudesunyoung","Teen And Up Audiences","F/F","2021-06-12","1519"
"1627548945-357","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","The Bangtan Syndicate | Book 1 | Blood Sweat & Tears","https://archiveofourown.org/works/26752372","april5th_tk","Mature","F/F","2020-10-01","2998"
"1627545089-12","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","There for You","https://archiveofourown.org/works/11110704","SunSkip","Mature","F/F","2017-06-06","7112"
"1627547485-226","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","There's no sunset without you","https://archiveofourown.org/works/22728112","rudesunyoung","Mature","F/F","2020-02-15","3291"
"1627546271-118","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","Not Us, Not Me","https://archiveofourown.org/works/18124307","rudesunyoung","Teen And Up Audiences","F/F","2019-03-16","2084"
"1627546112-103","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","Solo","https://archiveofourown.org/works/17743994","bili_bili","General Audiences","F/F","2019-02-11","1315"
