web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1626168986-10333","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Five Times Rosé Sleep with Jisoo and The One time Rosé really does","https://archiveofourown.org/works/30330471","skull53","Mature","F/F","2021-03-29","1365"
"1626168128-10256","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Heavydirtysoul","https://archiveofourown.org/works/28032828","marsella_1004","Teen And Up Audiences","F/F","2020-12-12","54"
"1626167006-10156","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","cause all i want is you up on me | jenlisa","https://archiveofourown.org/works/23371759","bl8pink","Mature","F/F","2020-03-29","4510"
"1626168503-10290","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","because it's you","https://archiveofourown.org/works/28846764","4RTHURKUN","General Audiences","F/F","2021-01-19","927"
"1626166449-10107","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","PLAY","https://archiveofourown.org/works/21859291","S1CKST4ND8","Mature","F/F","2019-12-19","1948"
"1626167850-10232","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","Snapshot","https://archiveofourown.org/works/21214325","MystBlBk","Mature","F/F","2019-10-28","3876"
"1626167145-10169","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","A floor plan, but with feelings","https://archiveofourown.org/works/24177181","rudesunyoung","Teen And Up Audiences","F/F","2020-05-14","1800"
"1626166790-10137","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","A bundle of cells","https://archiveofourown.org/works/23073628","rudesunyoung","Teen And Up Audiences","F/F","2020-03-09","1871"
"1626169375-10367","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","i know, you know, we know","https://archiveofourown.org/works/28452834","snowandwolves","Mature","F/F","2020-12-31","14240"
"1626165548-10027","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","because the world can't hold us down","https://archiveofourown.org/works/15083546","null","Teen And Up Audiences","F/F","2018-07-01","23176"
"1626169794-10401","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Second Overtime","https://archiveofourown.org/works/29309208","jensooni","Teen And Up Audiences","F/F","2021-02-09","987"
"1626169601-10387","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","i'll be seeing you","https://archiveofourown.org/works/31274048","TallPikeRoast","Teen And Up Audiences","F/F","2021-05-13","3095"
"1626167551-10205","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","Follow me, honey","https://archiveofourown.org/works/26335453","rudesunyoung","General Audiences","F/F","2020-09-08","1414"
"1626165035-9981","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","my specialty is ice","https://archiveofourown.org/works/15857322","busted_aesthetic","Explicit","M/M","2018-09-01","18647"
"1626166353-10098","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","Of Pauses and Interludes","https://archiveofourown.org/works/21393736","pinkbyproxy","Mature","F/F","2019-11-11","2169"
"1626169396-10369","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Frequency 64.3","https://archiveofourown.org/works/30985877","chelinda","Teen And Up Audiences","F/F","2021-04-29","1101"
"1626168943-10329","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","cards we've been dealt","https://archiveofourown.org/works/17859437","jrjkim","Teen And Up Audiences","F/F","2019-02-20","22068"
"1626167764-10224","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","A Table For Two","https://archiveofourown.org/works/26930161","null","Teen And Up Audiences","F/F","2020-10-10","754"
"1626168911-10326","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Apocalypse | Jenlisa and Chaesoo fanfic","https://archiveofourown.org/works/14088915","Annekoni","Mature","F/F","2018-03-25","2323"
"1626164201-9907","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","We make it work","https://archiveofourown.org/works/10665516","screamingskz","General Audiences","F/F","2017-04-18","3032"
"1626169167-10349","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","Only you Know","https://archiveofourown.org/works/20218456","nanabots18","General Audiences","F/F","2019-08-12","1163"
"1626166396-10102","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","leave her wild","https://archiveofourown.org/works/21658123","subtlesuccession","Not Rated","F/F","2019-12-03","1833"
"1626164790-9959","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","karmic","https://archiveofourown.org/works/12180468","KatWritings","Teen And Up Audiences","F/F","2017-10-01","627"
"1626166704-10130","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","悪魔 (The Devil)","https://archiveofourown.org/works/15798294","fluteandguqin","Mature","Multi","2018-08-26","1989"
"1626166597-10120","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","撒野","https://archiveofourown.org/works/22434478","lesyeuxdenini","Teen And Up Audiences","F/F","2020-01-27","7646"
"1626165494-10022","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","Inside These Pages Are The Promises I Kept","https://archiveofourown.org/works/18242447","divinelydecreed","Teen And Up Audiences","F/F","2019-03-26","1432"
"1626164243-9911","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Without You","https://archiveofourown.org/works/10954386","personalitycult","Teen And Up Audiences","F/F","2017-05-20","2434"
"1626168043-10249","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","绝不放过妮","https://archiveofourown.org/works/27911185","Sillycone","Mature","F/F","2020-12-06","420"
